title,company,location,date,link,image_url,image_filename
Junior Data Analyst,ROSEN,"Columbus, OH",1 day ago,https://www.linkedin.com/jobs/view/junior-data-analyst-at-rosen-4334261865?position=31&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=0%2F9lBQFe8jfG8hoAVR0mOg%3D%3D,https://media.licdn.com/dms/image/v2/D560BAQHoqmJenV7CDA/company-logo_100_100/company-logo_100_100/0/1714116244044/rosen_logo?e=2147483647&v=beta&t=i4BOelEaLlBsrZHuzBy8upSF25egwdglSxfjXaF-Iq0,ROSEN_Junior_Data_Analyst_30.jpg
Data Analyst Intern- Summer 2026,Stifel Financial Corp.,"St Louis, MO",2 days ago,https://www.linkedin.com/jobs/view/data-analyst-intern-summer-2026-at-stifel-financial-corp-4320487927?position=32&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=lCMQ2CwuwZvRubpfL7kdag%3D%3D,https://media.licdn.com/dms/image/v2/D560BAQGhIjOt8bppOw/company-logo_100_100/B56Zk.MWqvHMAQ-/0/1757685050547/stifel_financial_corp__logo?e=2147483647&v=beta&t=iqtpbVF2bV_6o34BlnmT0Cj2S1xyGihBcl_Lthw8cNM,Stifel_Financial_Corp_Data_Analyst_Intern-_Summer_2026_31.jpg
HR Data Analyst,Lucid Services Group,"Indiana, United States",3 days ago,https://www.linkedin.com/jobs/view/hr-data-analyst-at-lucid-services-group-4333807997?position=33&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=HmTOt2F5oUwwnb1WGDdooQ%3D%3D,https://media.licdn.com/dms/image/v2/C510BAQEdXduyNO9EIw/company-logo_100_100/company-logo_100_100/0/1631377262921?e=2147483647&v=beta&t=825MPlVi9vzPP9rI11VFclU9wkrSDpnqdoPtTakI4TM,Lucid_Services_Group_HR_Data_Analyst_32.jpg
Data Analyst,Jobs via Dice,"Smithfield, RI",2 days ago,https://www.linkedin.com/jobs/view/data-analyst-at-jobs-via-dice-4320535047?position=34&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=8K9JgmKV7Obc1jAlk%2B4i1Q%3D%3D,https://media.licdn.com/dms/image/v2/D560BAQFwOT1y-MRTFQ/company-logo_100_100/B56ZVEKZkcHsAQ-/0/1740605332130/jobs_via_dice_logo?e=2147483647&v=beta&t=EZY1uMT7XQYYUs4UMQmbM_7Zi-p9IWZqJHT9xbNktRY,Jobs_via_Dice_Data_Analyst_33.jpg
Data Analyst - Sales & Marketing,eDynamic Learning,United States,2 days ago,https://www.linkedin.com/jobs/view/data-analyst-sales-marketing-at-edynamic-learning-4320555337?position=35&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=nBHtn6uZF%2Fl85uNTAf1jsw%3D%3D,https://media.licdn.com/dms/image/v2/D4E0BAQFbArUwtL2BvQ/company-logo_100_100/company-logo_100_100/0/1713894468701/edynamiclearning_logo?e=2147483647&v=beta&t=gPqJ51aSKSXctoIVJq3Dv-1gRIdAbhtwBKhVPTJaaUM,eDynamic_Learning_Data_Analyst_-_Sales__Marketing_34.jpg
Data Analyst,Kforce Inc,"Smithfield, RI",2 days ago,https://www.linkedin.com/jobs/view/data-analyst-at-kforce-inc-4333913501?position=36&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=D27VQCwWpTp3ELfD0my0yA%3D%3D,https://media.licdn.com/dms/image/v2/C4D0BAQEtonVHDHqAZQ/company-logo_100_100/company-logo_100_100/0/1639415775313/kforce_logo?e=2147483647&v=beta&t=NL8XuPikJ6Xfi1MKQk9TVePX6KdLB4m5KQFZdiHD8IA,Kforce_Inc_Data_Analyst_35.jpg
Marketing Data Analyst,The Lee Company,"Westbrook, CT",3 days ago,https://www.linkedin.com/jobs/view/marketing-data-analyst-at-the-lee-company-4333748266?position=37&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=RRWdAapITpI00NXgwPP2SQ%3D%3D,https://media.licdn.com/dms/image/v2/D4E0BAQE2ysEX_MDxlw/company-logo_100_100/company-logo_100_100/0/1700171532625/the_lee_company_logo?e=2147483647&v=beta&t=po-6cwTxydu9N_qQSC9hRn36Mfj0btUxFoE89iX6-BA,The_Lee_Company_Marketing_Data_Analyst_36.jpg
Associate Data Analyst,DTE Energy,"Detroit, MI",1 day ago,https://www.linkedin.com/jobs/view/associate-data-analyst-at-dte-energy-4320725399?position=38&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=NCthbW59SWvLhwFlIM%2Fs9A%3D%3D,https://media.licdn.com/dms/image/v2/D560BAQHvWrwImZ_s9g/company-logo_100_100/company-logo_100_100/0/1688056458141/dte_energy_logo?e=2147483647&v=beta&t=mvXibnUv6MzBGwJvhmIo2msSeZJukToIr2dezyZhplk,DTE_Energy_Associate_Data_Analyst_37.jpg
Data Analyst,Betr,"Miami, FL",N/A,https://www.linkedin.com/jobs/view/data-analyst-at-betr-4334388374?position=39&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=YsLgNyOooJ%2BOmMLqOf0LVw%3D%3D,https://media.licdn.com/dms/image/v2/C4E0BAQEM2mLokX6oSA/company-logo_100_100/company-logo_100_100/0/1659891534890/betrhq_logo?e=2147483647&v=beta&t=9kWdyllUXPqt6rPPprERRNIz7FkhUw1JscHY3BkHHLQ,Betr_Data_Analyst_38.jpg
CRM & Data Analyst Trainee,Atlanta Braves,"Atlanta, GA",2 days ago,https://www.linkedin.com/jobs/view/crm-data-analyst-trainee-at-atlanta-braves-4320564387?position=40&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=BX4mxJRSpWmU%2FycVeGRF1w%3D%3D,https://media.licdn.com/dms/image/v2/C4D0BAQHSGzJ-TIrUZQ/company-logo_100_100/company-logo_100_100/0/1630579657030/atlanta_braves_logo?e=2147483647&v=beta&t=aBTUUw27KOe9KrtP51ZEL97NRzpNRwZZfy9Iq_HnJZM,Atlanta_Braves_CRM__Data_Analyst_Trainee_39.jpg
